Inventory MHE,Inventory container,Inventory index,Inventory max index,Item code,Item code owner,item_lot_number,item_expiration_date,Item sort key,Inventory quantity,Inventory damaged quantity,Inventory expired quantity,status
RR ASRS 001,ASRSX005123,2,8,4902850455930,3,,,,10,0,0,Initial
RR ASRS 001,ASRSX004322,7,8,4902778510322,1,,,,4,0,0,Initial
RR ASRS 001,ASRSX006509,3,4,4904901343029,1,,,,70,0,0,Initial
RR ASRS 001,ASRSX003585,2,4,4901480095615,1,,,,32,0,0,Initial
RR ASRS 001,ASRSX011032,1,8,4902205649540,1,,,,5,0,0,Initial
RR ASRS 001,ASRSX005123,4,8,4902850470391,3,,,,21,0,0,Initial
RR ASRS 001,ASRSX009176,8,8,4902505632013,3,,,,32,0,0,Initial
RR ASRS 001,ASRSX006834,6,8,4955414926957,1,,,,3,0,0,Initial
RR ASRS 001,ASRSX011267,1,8,49454901,1,,,,8,0,0,Initial
RR ASRS 001,ASRSX008059,1,1,4901478074059,3,,,,14,0,0,Initial
RR ASRS 001,ASRSX009656,7,8,4902506306692,3,,,,8,0,0,Initial
RR ASRS 001,ASRSX009548,5,8,4902506358752,3,,,,23,0,0,Initial
RR ASRS 001,ASRSX011558,1,1,4512427227466,3,,,,16,0,0,Initial
RR ASRS 001,ASRSX006567,7,8,4902505596827,1,,,,2,0,0,Initial
RR ASRS 001,ASRSX003868,3,8,4963095340610,1,,,,2,0,0,Initial
RR ASRS 001,ASRSX006421,6,8,4902505555862,3,,,,3,0,0,Initial
RR ASRS 001,ASRSX011329,2,2,4901772011316,3,,,,46,0,0,Initial
RR ASRS 001,ASRSX003424,5,8,4902505555534,1,,,,1,0,0,Initial
RR ASRS 001,ASRSX007101,1,1,4904901284247,1,,,,53,0,0,Initial
RR ASRS 001,ASRSX006564,5,8,4522163037236,3,,,,37,0,0,Initial
RR ASRS 001,ASRSX010114,8,8,4901991904079,3,,,,81,0,0,Initial
RR ASRS 001,ASRSX006834,5,8,4901681731862,1,,,,1,0,0,Initial
RR ASRS 001,ASRSX009332,5,8,4901991001273,1,,,,1,0,0,Initial
RR ASRS 001,ASRSX006740,1,2,4901480027227,1,,,,6,0,0,Initial
